benchmark_run_id,run_id,mission,scenario,seed_range_start,seed_range_end,strategy,profile,total_runs,success_rate,avg_task_completion_rate,avg_detection_ticks,avg_reallocation_ticks,avg_messages_attempted,avg_messages_dropped,avg_tasks_injected,avg_tasks_expired,avg_conflicting_assignments,avg_network_availability,avg_relay_reallocation_ticks,avg_avg_hop_count,avg_disconnected_agents_max,avg_coverage_progress,avg_bytes_sent,avg_stale_state_age_ticks,avg_battery_margin_min,avg_battery_margin_avg,time_to_find,probability_of_detection,targets_found,safety_violations,belief_entropy_final,false_positive_rate,confirmation_scans,convergence_ticks_p50,convergence_ticks_p95,avg_bundle_travel_distance,avg_edge_coverage_rate,avg_missed_edges,avg_revisit_count,avg_route_efficiency
2026-05-26T020426Z_inspection_10_quick,2026-05-26T020426Z_inspection_10_quick_centralized_inspection/random,inspection,inspection,0,10,centralized,inspection/random,10,1.000,1.000,0.000,0.000,10000.000,2112.000,0.000,0.000,8829.600,0.488,0.000,1.000,0.900,0.000,457840.000,183.300,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,1.000,0.000,0.000,0.710
2026-05-26T020426Z_inspection_10_quick,2026-05-26T020426Z_inspection_10_quick_centralized_inspection/perimeter,inspection,inspection,0,10,centralized,inspection/perimeter,10,0.000,0.000,0.000,0.000,6000.000,2400.000,0.000,0.000,4865.200,0.372,0.000,1.000,1.000,0.000,274704.000,85.300,0.000,22.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.483,20.700,0.000,0.157
2026-05-26T020426Z_inspection_10_quick,2026-05-26T020426Z_inspection_10_quick_centralized_inspection/linear,inspection,inspection,0,10,centralized,inspection/linear,10,1.000,1.000,0.000,0.000,3000.000,1896.000,0.000,0.000,4725.000,0.055,0.000,1.000,1.000,0.000,137352.000,474.000,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,1.000,0.000,0.000,0.564
2026-05-26T020426Z_inspection_10_quick,2026-05-26T020426Z_inspection_10_quick_auction_inspection/random,inspection,inspection,0,10,auction,inspection/random,10,1.000,1.000,0.000,0.000,10000.000,2443.200,0.000,0.000,15775.300,0.403,0.000,1.000,0.900,0.000,457840.000,243.300,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,1.000,0.000,20.800,0.420
2026-05-26T020426Z_inspection_10_quick,2026-05-26T020426Z_inspection_10_quick_auction_inspection/perimeter,inspection,inspection,0,10,auction,inspection/perimeter,10,0.500,0.500,0.000,0.000,6000.000,2178.600,0.000,0.000,10004.900,0.288,0.000,1.000,1.000,0.242,274704.000,82.200,0.000,22.406,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.745,10.200,9.900,0.148
2026-05-26T020426Z_inspection_10_quick,2026-05-26T020426Z_inspection_10_quick_auction_inspection/linear,inspection,inspection,0,10,auction,inspection/linear,10,1.000,1.000,0.000,0.000,3000.000,1896.000,0.000,0.000,9160.000,0.055,0.000,1.000,1.000,0.000,137352.000,474.000,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,1.000,0.000,10.000,0.279
2026-05-26T020426Z_inspection_10_quick,2026-05-26T020426Z_inspection_10_quick_cbba_inspection/random,inspection,inspection,0,10,cbba,inspection/random,10,0.700,0.700,0.000,1.000,10000.000,1308.400,0.000,0.000,10496.600,0.979,0.000,1.249,1.300,0.668,457840.000,122.500,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.964,0.800,13.400,0.213
2026-05-26T020426Z_inspection_10_quick,2026-05-26T020426Z_inspection_10_quick_cbba_inspection/perimeter,inspection,inspection,0,10,cbba,inspection/perimeter,10,0.000,0.000,0.000,0.900,6000.000,3827.800,0.000,0.000,3812.600,0.398,0.000,1.204,3.200,0.137,274704.000,318.700,9.471,21.441,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.920,3.200,32.100,0.102
2026-05-26T020426Z_inspection_10_quick,2026-05-26T020426Z_inspection_10_quick_cbba_inspection/linear,inspection,inspection,0,10,cbba,inspection/linear,10,0.900,0.900,0.000,1.000,3000.000,196.400,0.000,0.000,4076.600,0.905,0.000,1.366,0.400,0.650,137352.000,46.400,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.920,0.800,0.500,0.165
2026-05-26T020426Z_inspection_10_quick,2026-05-26T020426Z_inspection_10_quick_connectivity-aware_inspection/random,inspection,inspection,0,10,connectivity-aware,inspection/random,10,1.000,1.000,0.000,0.000,10000.000,1652.000,0.000,0.000,16056.900,0.603,0.000,1.000,0.900,0.000,457840.000,121.700,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,1.000,0.000,20.800,0.409
2026-05-26T020426Z_inspection_10_quick,2026-05-26T020426Z_inspection_10_quick_connectivity-aware_inspection/perimeter,inspection,inspection,0,10,connectivity-aware,inspection/perimeter,10,0.300,0.300,0.000,0.000,6000.000,2320.200,0.000,0.000,11314.400,0.241,0.000,1.000,1.000,0.115,274704.000,175.900,0.098,22.468,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.772,9.100,11.700,0.156
2026-05-26T020426Z_inspection_10_quick,2026-05-26T020426Z_inspection_10_quick_connectivity-aware_inspection/linear,inspection,inspection,0,10,connectivity-aware,inspection/linear,10,1.000,1.000,0.000,0.000,3000.000,1896.000,0.000,0.000,9160.000,0.055,0.000,1.000,1.000,0.000,137352.000,474.000,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,1.000,0.000,10.000,0.312
2026-05-26T020426Z_inspection_10_quick,2026-05-26T020426Z_inspection_10_quick_greedy_inspection/random,inspection,inspection,0,10,greedy,inspection/random,10,1.000,1.000,0.000,0.000,10000.000,760.400,0.000,0.000,18075.900,0.820,0.000,1.327,2.000,0.513,457840.000,68.600,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,1.000,0.000,24.100,0.208
2026-05-26T020426Z_inspection_10_quick,2026-05-26T020426Z_inspection_10_quick_greedy_inspection/perimeter,inspection,inspection,0,10,greedy,inspection/perimeter,10,0.400,0.400,0.000,0.000,6000.000,2328.200,0.000,0.000,16978.900,0.345,0.000,1.316,3.500,0.235,274704.000,120.100,0.000,19.045,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.870,5.200,31.000,0.079
2026-05-26T020426Z_inspection_10_quick,2026-05-26T020426Z_inspection_10_quick_greedy_inspection/linear,inspection,inspection,0,10,greedy,inspection/linear,10,1.000,1.000,0.000,0.500,3000.000,166.800,0.000,0.000,5659.200,0.728,0.000,1.427,0.800,0.480,137352.000,39.100,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,1.000,0.000,2.200,0.160
