benchmark_run_id,run_id,mission,scenario,seed_range_start,seed_range_end,strategy,profile,total_runs,success_rate,success_stddev,success_stderr,success_ci95_low,success_ci95_high,success_min,success_max,failure_rate,avg_task_completion_rate,task_completion_stddev,task_completion_stderr,task_completion_ci95_low,task_completion_ci95_high,task_completion_min,task_completion_max,support_status,support_reason,avg_detection_ticks,avg_reallocation_ticks,avg_messages_attempted,avg_messages_dropped,avg_tasks_injected,avg_tasks_expired,avg_conflicting_assignments,avg_network_availability,avg_relay_reallocation_ticks,avg_avg_hop_count,avg_disconnected_agents_max,avg_coverage_progress,avg_bytes_sent,avg_stale_state_age_ticks,avg_battery_margin_min,avg_battery_margin_avg,time_to_find,probability_of_detection,targets_found,safety_violations,belief_entropy_final,false_positive_rate,confirmation_scans,convergence_ticks_p50,convergence_ticks_p95,avg_bundle_travel_distance,avg_edge_coverage_rate,avg_missed_edges,avg_revisit_count,avg_route_efficiency,avg_route_length,avg_wasted_travel,avg_return_reserve,avg_infeasible_routes,avg_hazard_zones_mapped,avg_priority_updates,avg_final_threat_level,avg_high_priority_zones_mapped,avg_time_to_map_first_high_risk,avg_zone_observations,avg_urban_route_length_m,avg_urban_route_risk_score,urban_route_planned_rate,avg_urban_violation_count,urban_route_completed_rate,urban_patrol_completed_rate,avg_urban_time_to_complete_loop,avg_urban_distance_travelled_m,avg_urban_route_efficiency,avg_urban_replan_count,bus_detection_rate,avg_time_to_detect_bus,avg_false_positive_count,avg_distance_before_detection,search_success_without_violation_rate,avg_urban_min_agent_separation_m,avg_urban_separation_violation_count,avg_urban_route_conflict_count,avg_perimeter_completion_rate,avg_perimeter_length_m,avg_time_to_complete_perimeter,avg_perimeter_violations
2026-06-03T144303Z_coverage_20_custom,2026-06-03T144303Z_coverage_20_custom_coverage_auction_heavy-loss-no-failures,coverage,coverage,0,20,auction,heavy-loss-no-failures,20,1.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,1.000,not_evaluated,missing_evidence,0.000,0.000,90.000,26.550,0.000,0.000,0.000,1.000,0.000,1.000,0.000,1.000,3960.000,1.000,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2026-06-03T144303Z_coverage_20_custom,2026-06-03T144303Z_coverage_20_custom_coverage_auction_ideal-no-failures,coverage,coverage,0,20,auction,ideal-no-failures,20,1.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,1.000,not_evaluated,missing_evidence,0.000,0.000,90.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000,1.000,3960.000,0.000,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2026-06-03T144303Z_coverage_20_custom,2026-06-03T144303Z_coverage_20_custom_coverage_auction_medium-loss-no-failures,coverage,coverage,0,20,auction,medium-loss-no-failures,20,1.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,1.000,not_evaluated,missing_evidence,0.000,0.000,90.000,13.600,0.000,0.000,0.000,1.000,0.000,1.000,0.000,1.000,3960.000,1.000,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2026-06-03T144303Z_coverage_20_custom,2026-06-03T144303Z_coverage_20_custom_coverage_cbba_heavy-loss-no-failures,coverage,coverage,0,20,cbba,heavy-loss-no-failures,20,1.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,1.000,not_evaluated,missing_evidence,0.000,0.000,90.000,26.550,0.000,0.000,0.000,1.000,0.000,1.000,0.000,1.000,3960.000,1.000,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2026-06-03T144303Z_coverage_20_custom,2026-06-03T144303Z_coverage_20_custom_coverage_cbba_ideal-no-failures,coverage,coverage,0,20,cbba,ideal-no-failures,20,1.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,1.000,not_evaluated,missing_evidence,0.000,0.000,90.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000,1.000,3960.000,0.000,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2026-06-03T144303Z_coverage_20_custom,2026-06-03T144303Z_coverage_20_custom_coverage_cbba_medium-loss-no-failures,coverage,coverage,0,20,cbba,medium-loss-no-failures,20,1.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,1.000,not_evaluated,missing_evidence,0.000,0.000,90.000,13.600,0.000,0.000,0.000,1.000,0.000,1.000,0.000,1.000,3960.000,1.000,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2026-06-03T144303Z_coverage_20_custom,2026-06-03T144303Z_coverage_20_custom_coverage_centralized_heavy-loss-no-failures,coverage,coverage,0,20,centralized,heavy-loss-no-failures,20,1.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,1.000,not_evaluated,missing_evidence,0.000,0.000,90.000,26.550,0.000,0.000,0.000,1.000,0.000,1.000,0.000,1.000,3960.000,1.000,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2026-06-03T144303Z_coverage_20_custom,2026-06-03T144303Z_coverage_20_custom_coverage_centralized_ideal-no-failures,coverage,coverage,0,20,centralized,ideal-no-failures,20,1.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,1.000,not_evaluated,missing_evidence,0.000,0.000,90.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000,1.000,3960.000,0.000,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2026-06-03T144303Z_coverage_20_custom,2026-06-03T144303Z_coverage_20_custom_coverage_centralized_medium-loss-no-failures,coverage,coverage,0,20,centralized,medium-loss-no-failures,20,1.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,1.000,not_evaluated,missing_evidence,0.000,0.000,90.000,13.600,0.000,0.000,0.000,1.000,0.000,1.000,0.000,1.000,3960.000,1.000,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2026-06-03T144303Z_coverage_20_custom,2026-06-03T144303Z_coverage_20_custom_coverage_connectivity-aware_heavy-loss-no-failures,coverage,coverage,0,20,connectivity-aware,heavy-loss-no-failures,20,1.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,1.000,not_evaluated,missing_evidence,0.000,0.000,90.000,26.550,0.000,0.000,0.000,1.000,0.000,1.000,0.000,1.000,3960.000,1.000,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2026-06-03T144303Z_coverage_20_custom,2026-06-03T144303Z_coverage_20_custom_coverage_connectivity-aware_ideal-no-failures,coverage,coverage,0,20,connectivity-aware,ideal-no-failures,20,1.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,1.000,not_evaluated,missing_evidence,0.000,0.000,90.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000,1.000,3960.000,0.000,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2026-06-03T144303Z_coverage_20_custom,2026-06-03T144303Z_coverage_20_custom_coverage_connectivity-aware_medium-loss-no-failures,coverage,coverage,0,20,connectivity-aware,medium-loss-no-failures,20,1.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,1.000,not_evaluated,missing_evidence,0.000,0.000,90.000,13.600,0.000,0.000,0.000,1.000,0.000,1.000,0.000,1.000,3960.000,1.000,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2026-06-03T144303Z_coverage_20_custom,2026-06-03T144303Z_coverage_20_custom_coverage_greedy_heavy-loss-no-failures,coverage,coverage,0,20,greedy,heavy-loss-no-failures,20,1.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,1.000,not_evaluated,missing_evidence,0.000,0.000,90.000,26.550,0.000,0.000,0.000,1.000,0.000,1.000,0.000,1.000,3960.000,1.000,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2026-06-03T144303Z_coverage_20_custom,2026-06-03T144303Z_coverage_20_custom_coverage_greedy_ideal-no-failures,coverage,coverage,0,20,greedy,ideal-no-failures,20,1.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,1.000,not_evaluated,missing_evidence,0.000,0.000,90.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000,1.000,3960.000,0.000,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2026-06-03T144303Z_coverage_20_custom,2026-06-03T144303Z_coverage_20_custom_coverage_greedy_medium-loss-no-failures,coverage,coverage,0,20,greedy,medium-loss-no-failures,20,1.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,1.000,not_evaluated,missing_evidence,0.000,0.000,90.000,13.600,0.000,0.000,0.000,1.000,0.000,1.000,0.000,1.000,3960.000,1.000,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
